Status,Designator,Qty,Function,Value,Manufacturer,MPN,Footprint,LCSC Part #,Assembly,Population,Notes
EXACT_CANDIDATE,"J2,J3,J4,J5",4,AntHat-style four-wire fan connectors,Keyed 2x2 nominal 4.2 mm pitch,Molex,0353180420,ChainAxe:0353180420_THT,C54909,THT/manual,HAND_INSTALL,"Silk G/12/T/P; project-local footprint follows Molex SD-35318 4.2 x 5.5 mm pattern; verify key, circuit view, and real fan harness"
TBD,JP1,1,Optional fan-to-logic feed,Open solder jumper,N/A,N/A,Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,N/A,Manual,DNP,"Fit only when J1 is verified regulated 12 V; feeds FAN_12V through D2 and never bypasses the diode"
TBD,"SW1,SW2",2,BOOT and RESET buttons,Momentary NO,TBD,TBD,Button_Switch_SMD:SW_SPST_CK_RS282G05A3,TBD,SMT,STOP_ORDER,"STOP-ORDER: schematic uses the CK RS282G05A3 footprint; prior CS1213AGF260/C5578986 pairing is not footprint-verified and is removed from the JLC template"
EXACT_CANDIDATE,R60,1,Fan-input reverse-protection gate resistor,12k 1%,UNI-ROYAL,0402WGF1202TCE,Resistor_SMD:R_0402_1005Metric,C25752,SMT basic,SELECT_BEFORE_RELEASE,"Q5/Q6 gate pull; validate with ZD1 and final FET topology"
EXACT_CANDIDATE,"R50,R80,R83,R84,R105,R106,R107,R108,R109,R200,R203,R206,R209",13,Hardware safe-state pulls,100k 1%,UNI-ROYAL,0402WGF1003TCE,Resistor_SMD:R_0402_1005Metric,C25741,SMT basic,POPULATE,"U5 off; U6 off; PLUG defined; U7 off; fan arm off; R106-R109 define U8 inputs low until EMC2305 push-pull configuration; four fan gates off"
PROVISIONAL,R70,1,Rail-monitor divider top,100k 1%,UNI-ROYAL,0402WGF1003TCE,Resistor_SMD:R_0402_1005Metric,C25741,SMT basic,POPULATE,"With R71 and C70; validate ADC full-scale against the selected monitored rail"
PROVISIONAL,"R91,R92",2,Optional hashboard reset bias pads,100k starting value,UNI-ROYAL,0402WGF1003TCE,Resistor_SMD:R_0402_1005Metric,C25741,SMT basic,DNP,"Mutually exclusive reset bias-up/down options; default S21-safe assembly leaves both open"
EXACT_CANDIDATE,"R89,R110,R111",3,Reset-OE and MCU EN/BOOT pullups,10k 1%,UNI-ROYAL,0402WGF1002TCE,Resistor_SMD:R_0402_1005Metric,C25744,SMT basic,POPULATE,"R89 disables U12; R110 is ESP EN pullup; R111 is BOOT pullup"
PROVISIONAL,R51,1,Hashboard 3.3 V quick-output-discharge link,100 ohm 1%,Multiple,TBD,Resistor_SMD:R_0402_1005Metric,TBD,SMT,POPULATE,"VOUT to TPS22917 QOD; J10 pin 16 must never be externally driven"
PROVISIONAL,R71,1,Rail-monitor divider bottom,27k 1%,Multiple,TBD,Resistor_SMD:R_0402_1005Metric,TBD,SMT,POPULATE,"With R70 and C70; validate ADC scaling and source impedance"
EXACT_CANDIDATE,"R112,R113",2,USB-C CC pulldowns,5.1k 1%,UNI-ROYAL,0402WGF5101TCE,Resistor_SMD:R_0402_1005Metric,C25905,SMT basic,POPULATE,"One resistor per CC pin"
PROVISIONAL,"R114,R115",2,USB source damping,22 ohm 1%,Multiple,TBD,Resistor_SMD:R_0402_1005Metric,TBD,SMT,POPULATE,"R114 is USB D+ and R115 is USB D-; place at U1 and tune only if needed"
PROVISIONAL,R116,1,USB shield bleed,1M 1%,Multiple,TBD,Resistor_SMD:R_0402_1005Metric,TBD,SMT,POPULATE,"Parallel with C111 between shield and logic ground; validate chassis strategy"
EXACT_CANDIDATE,"R81,R82",2,Hashboard UART damping,33 ohm 1%,UNI-ROYAL,0402WGF330JTCE,Resistor_SMD:R_0402_1005Metric,C25105,SMT basic,POPULATE,"R81 TX and R82 RX; R82 remains a scope-tunable provisional value"
EXACT_CANDIDATE,R90,1,Profile-gated hashboard RESET series link,33 ohm 1%,UNI-ROYAL,0402WGF330JTCE,Resistor_SMD:R_0402_1005Metric,C25105,SMT basic,DNP,"Default S21-safe assembly leaves link open; populate only for an exact validated legacy-reset profile"
EXACT_CANDIDATE,"R100,R101,R102",3,Fan SMBus and alert pullups,4.7k 1%,UNI-ROYAL,0402WGF4701TCE,Resistor_SMD:R_0402_1005Metric,C25900,SMT basic,POPULATE,"FAN_SDA/FAN_SCL/FAN_ALERT_N pullups to 3V3"
PROVISIONAL,"R85,R86,R87,R88",4,Split-domain hashboard I2C pullups,4.7k 1%,UNI-ROYAL,0402WGF4701TCE,Resistor_SMD:R_0402_1005Metric,C25900,SMT basic,POPULATE,"Two controller-side pulls to 3V3 and two cable-side pulls to switched HB_3V3"
EXACT_CANDIDATE,"R93,R95,R97",3,Hashboard address default-low straps,4.7k 1%,UNI-ROYAL,0402WGF4701TCE,Resistor_SMD:R_0402_1005Metric,C25900,SMT basic,POPULATE,"Default-low side of three mutually exclusive strap pairs"
PROVISIONAL,"R94,R96,R98",3,Hashboard address high straps,0 ohm,Multiple,TBD,Resistor_SMD:R_0402_1005Metric,TBD,SMT,DNP,"Optional high side connects only to switched HB_3V3; populate instead of corresponding low strap after profile validation"
PROVISIONAL,"R201,R204,R207,R210",4,Fan tach pullups,36k 1%,YAGEO,RC0402FR-0736KL,Resistor_SMD:R_0402_1005Metric,C137999,SMT extended,POPULATE,"Starting value; validate rise time and RPM with the exact fans"
EXACT_CANDIDATE,R103,1,EMC2305 startup strap,22k 1%,UNI-ROYAL,0402WGF2202TCE,Resistor_SMD:R_0402_1005Metric,C25768,SMT basic,POPULATE,"Datasheet decode selects 100% default drive"
PROVISIONAL,R104,1,EMC2305 address strap,33k 1%,UNI-ROYAL,0402WGF3302TCE,Resistor_SMD:R_0402_1005Metric,C25779,SMT basic,POPULATE,"Confirm decoded SMBus address; firmware probes"
PROVISIONAL,RFB1,1,Buck feedback top,69.8k 1%,Multiple,TBD,Resistor_SMD:R_0402_1005Metric,TBD,SMT,POPULATE,"AP64501 DS41980 Table 1 3.3 V starting value; verify tolerance and placement"
PROVISIONAL,RFB2,1,Buck feedback bottom,22.1k 1%,Multiple,TBD,Resistor_SMD:R_0402_1005Metric,TBD,SMT,POPULATE,"AP64501 DS41980 Table 1 3.3 V starting value"
PROVISIONAL,R65,1,Buck compensation resistor,10.5k 1%,Multiple,TBD,Resistor_SMD:R_0402_1005Metric,TBD,SMT,POPULATE,"AP64501 DS41980 Table 1 starting value; validate loop stability"
PROVISIONAL,C15,1,Buck bootstrap capacitor,100nF 50 V X7R,Samsung Electro-Mechanics,CL05B104KB54PNC,Capacitor_SMD:C_0402_1005Metric,C307331,SMT extended,POPULATE,"Connect directly from AP64501 BST to SW; quote-time stock/substitution check required"
PROVISIONAL,C16,1,Buck soft-start capacitor,10nF X7R,Multiple,TBD,Capacitor_SMD:C_0402_1005Metric,TBD,SMT,POPULATE,"DS41980 starting value gives approximately 4 ms soft start"
PROVISIONAL,C17,1,Buck compensation capacitor,2.7nF X7R,Multiple,TBD,Capacitor_SMD:C_0402_1005Metric,TBD,SMT,POPULATE,"AP64501 DS41980 Table 1 starting value; validate loop stability"
PROVISIONAL,C18,1,Buck optional high-frequency compensation capacitor,56pF C0G,Multiple,TBD,Capacitor_SMD:C_0402_1005Metric,TBD,SMT,DNP,"DS41980 Table 1 C6 option from COMP to GND; fit only after loop/load-transient validation"
PROVISIONAL,"CIN1,CIN2,CIN3,CIN4",4,Buck input ceramic,10uF 50 V X7R,Multiple,TBD,Capacitor_SMD:C_1210_3225Metric,TBD,SMT extended,SELECT_BEFORE_RELEASE,"Check effective capacitance at 15 V plus transient margin"
PROVISIONAL,"COUT1,COUT2,COUT3",3,Buck output ceramic,22uF 10 V X7R,Multiple,TBD,Capacitor_SMD:C_0805_2012Metric,TBD,SMT extended,SELECT_BEFORE_RELEASE,"DS41980 Table 1 starting bank; verify DC-bias capacitance and load transients"
PROVISIONAL,C50,1,Hashboard load-switch timing capacitor,1nF X7R,Multiple,TBD,Capacitor_SMD:C_0402_1005Metric,TBD,SMT,POPULATE,"TPS22917 CT to VIN/3V3; approximately 3.8 ms turn-on; validate J10 pin-16 inrush"
PROVISIONAL,"C51,C52",2,Hashboard load-switch local bypass,1uF,Multiple,TBD,Capacitor_SMD:C_0402_1005Metric,TBD,SMT,POPULATE,"C51 at U5 VIN and C52 at switched HB_3V3; select voltage/dielectric and validate inrush"
PROVISIONAL,C70,1,Rail-monitor filter capacitor,10nF,Multiple,TBD,Capacitor_SMD:C_0402_1005Metric,TBD,SMT,POPULATE,"With R70/R71; validate ADC settling and noise"
EXACT_CANDIDATE,"C1,C2,C80,C81,C100,C102,C103,C104",8,IC decoupling,100nF 50 V X7R,Samsung Electro-Mechanics,CL05B104KB54PNC,Capacitor_SMD:C_0402_1005Metric,C307331,SMT extended,POPULATE,"Frozen schematic count is eight decouplers; place at the associated supply pins; quote-time stock/substitution check required"
PROVISIONAL,C110,1,ESP EN delay capacitor,1uF,Multiple,TBD,Capacitor_SMD:C_0402_1005Metric,TBD,SMT,POPULATE,"Works with R110; validate boot and brownout behavior"
PROVISIONAL,C101,1,EMC2305 local bulk,1uF,Multiple,TBD,Capacitor_SMD:C_0805_2012Metric,TBD,SMT,POPULATE,"Place at U2 VDD; select voltage/dielectric"
PROVISIONAL,C3,1,Optional ESP 3.3 V rail bulk,220uF low ESR,Multiple,TBD,Capacitor_SMD:CP_Elec_8x10.2,TBD,Manual or SMT,DNP,"Default open: AP64501 Table-1 compensation assumes the ceramic output bank; select exact C3 ESR/capacitance and validate Bode/load-step response before population"
PROVISIONAL,"C20,C21",2,Fan rail bulk,470uF 25 V low ESR,Multiple,TBD,Capacitor_THT:CP_Radial_D10.0mm_P5.00mm,TBD,THT/manual,SELECT_BEFORE_RELEASE,"Place near fan branches; size from simultaneous startup/stall measurement"
PROVISIONAL,C111,1,USB shield coupling capacitor,1nF 2 kV,Multiple,TBD,Capacitor_SMD:C_0805_2012Metric,TBD,SMT extended,POPULATE,"Parallel with R116 between shield and logic ground; select a safety/voltage-appropriate exact part"
EXACT_CANDIDATE,C112,1,USB ESD local VBUS bypass,100nF 50 V X7R,Samsung Electro-Mechanics,CL05B104KB54PNC,Capacitor_SMD:C_0402_1005Metric,C307331,SMT extended,POPULATE,"Place directly between U9 USBLC6 pin 5 VBUS and pin 2 GND with minimal loop area per ST Figure 17"
PROVISIONAL,"C200,C201,C202,C203",4,Optional fan tach filters,100pF C0G,Multiple,TBD,Capacitor_SMD:C_0402_1005Metric,TBD,SMT,DNP,"Default open; populate only after exact-fan tach waveform validation"
EXACT_CANDIDATE,"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP23,TP24,TP25,TP26,TP27,TP28,TP29,TP30,TP31,TP32,TP33,TP34,TP35,TP36,TP37",37,Labeled test points,Bare 1.0 mm SMT pads,N/A,N/A,TestPoint:TestPoint_Pad_D1.0mm,N/A,Bare PCB,PCB_FEATURE,"Frozen schematic contains TP1 through TP37; these are copper features, not purchased components"
TBD,FEXT1,1,External inline fan-rail fuse,Measured-value fuse,Target-dependent,TBD,Off-board,TBD,Manual,REQUIRED_EXTERNAL,"Off-board system item; size from four-fan simultaneous stall/start current and selected connector/cable ratings"
